subject,session,AcqGroup
sub-colornest109,1,1
sub-colornest129,1,1
sub-colornest128,1,1
sub-colornest126,1,1
sub-colornest124,1,1
sub-colornest123,1,1
sub-colornest122,1,1
sub-colornest120,1,1
sub-colornest119,1,1
sub-colornest112,1,1
sub-colornest111,1,1
sub-colornest108,1,1
sub-colornest002,1,1
sub-colornest107,1,1
sub-colornest106,1,1
sub-colornest103,1,1
sub-colornest101,1,1
sub-colornest100,1,1
sub-colornest099,1,1
sub-colornest098,1,1
sub-colornest097,1,1
sub-colornest096,1,1
sub-colornest095,1,1
sub-colornest093,1,1
sub-colornest092,1,1
sub-colornest091,1,1
sub-colornest132,1,1
sub-colornest135,1,1
sub-colornest139,1,1
sub-colornest142,1,1
sub-colornest188,1,1
sub-colornest187,1,1
sub-colornest186,1,1
sub-colornest180,1,1
sub-colornest178,1,1
sub-colornest177,1,1
sub-colornest174,1,1
sub-colornest173,1,1
sub-colornest171,1,1
sub-colornest170,1,1
sub-colornest168,1,1
sub-colornest167,1,1
sub-colornest166,1,1
sub-colornest163,1,1
sub-colornest161,1,1
sub-colornest159,1,1
sub-colornest158,1,1
sub-colornest156,1,1
sub-colornest155,1,1
sub-colornest154,1,1
sub-colornest151,1,1
sub-colornest150,1,1
sub-colornest149,1,1
sub-colornest145,1,1
sub-colornest143,1,1
sub-colornest090,1,1
sub-colornest089,1,1
sub-colornest088,1,1
sub-colornest044,1,1
sub-colornest040,1,1
sub-colornest039,1,1
sub-colornest038,1,1
sub-colornest037,1,1
sub-colornest036,1,1
sub-colornest034,1,1
sub-colornest030,1,1
sub-colornest029,1,1
sub-colornest028,1,1
sub-colornest027,1,1
sub-colornest026,1,1
sub-colornest025,1,1
sub-colornest024,1,1
sub-colornest022,1,1
sub-colornest021,1,1
sub-colornest020,1,1
sub-colornest019,1,1
sub-colornest016,1,1
sub-colornest015,1,1
sub-colornest009,1,1
sub-colornest008,1,1
sub-colornest007,1,1
sub-colornest005,1,1
sub-colornest004,1,1
sub-colornest003,1,1
sub-colornest042,1,1
sub-colornest045,1,1
sub-colornest087,1,1
sub-colornest046,1,1
sub-colornest086,1,1
sub-colornest084,1,1
sub-colornest082,1,1
sub-colornest081,1,1
sub-colornest080,1,1
sub-colornest079,1,1
sub-colornest078,1,1
sub-colornest076,1,1
sub-colornest075,1,1
sub-colornest074,1,1
sub-colornest072,1,1
sub-colornest071,1,1
sub-colornest070,1,1
sub-colornest067,1,1
sub-colornest066,1,1
sub-colornest064,1,1
sub-colornest062,1,1
sub-colornest061,1,1
sub-colornest060,1,1
sub-colornest058,1,1
sub-colornest056,1,1
sub-colornest055,1,1
sub-colornest053,1,1
sub-colornest051,1,1
sub-colornest050,1,1
sub-colornest049,1,1
sub-colornest006,1,2
sub-colornest176,1,2
sub-colornest193,1,2
sub-colornest192,1,2
sub-colornest190,1,2
sub-colornest185,1,2
sub-colornest184,1,2
sub-colornest179,1,2
sub-colornest175,1,2
sub-colornest013,1,2
sub-colornest152,1,2
sub-colornest134,1,2
sub-colornest094,1,2
sub-colornest033,1,2
sub-colornest194,1,2
sub-colornest115,1,3
sub-colornest181,1,3
sub-colornest035,1,3
sub-colornest077,1,3
sub-colornest114,1,4
sub-colornest144,1,4
sub-colornest189,1,4
sub-colornest001,1,5
sub-colornest031,1,5
sub-colornest127,1,5
sub-colornest073,1,6
sub-colornest041,1,6
sub-colornest012,1,7
sub-colornest102,1,7
sub-colornest059,1,8
sub-colornest105,1,8
sub-colornest052,1,9
sub-colornest023,1,10
sub-colornest183,1,11
sub-colornest182,1,12
sub-colornest063,1,13
